RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.7202,170784,7.3803,15.638,0,6288.0,FullTopology
0.4,ABM,2.5843,740300,10.242,17.925,0,12576.0,FullTopology
0.6,ABM,4.1376,3125184,15.796,21.055,0,25932.0,FullTopology
0.8,ABM,8.4597,11617552,35.818,25.156,0,58148.0,FullTopology
0.2,ABM,1.5854,50512,6.2462,15.84,0,0.0,SmallTopology
0.4,ABM,2.352,233596,8.6852,19.404,0,7336.0,SmallTopology
0.6,ABM,3.5947,861268,12.636,21.779,0,14672.0,SmallTopology
0.8,ABM,9.531,3141236,46.564,28.225,0,44496.0,SmallTopology
0.2,DT,1.6979,7668,7.253,37.458,0,0.0,FullTopology
0.4,DT,2.6835,18496,11.157,39.861,0,0.0,FullTopology
0.6,DT,5.0735,78408,27.142,55.397,0,0.0,FullTopology
0.8,DT,12.102,596188,79.158,64.989,0,12756.0,FullTopology
0.2,DT,1.6615,9316,7.356,23.493,0,0.0,SmallTopology
0.4,DT,2.5485,14936,10.297,36.53,0,0.0,SmallTopology
0.6,DT,4.5779,39188,23.914,53.299,0,0.0,SmallTopology
0.8,DT,12.626,319908,84.966,61.599,0,12318.0,SmallTopology
0.2,Reverie,1.7013,7096,7.1776,37.376,0,0.0,FullTopology
0.4,Reverie,2.7214,17164,11.463,40.041,0,0.0,FullTopology
0.6,Reverie,5.2316,69312,28.462,51.246,0,0.0,FullTopology
0.8,Reverie,14.534,1184624,97.475,56.32,0,10540.0,FullTopology
0.2,Reverie,1.6523,8008,7.0492,23.341,0,0.0,SmallTopology
0.4,Reverie,2.5731,11132,10.424,37.208,0,0.0,SmallTopology
0.6,Reverie,4.5353,24224,23.503,52.384,0,0.0,SmallTopology
0.8,Reverie,14.7,358738,91.287,59.878,0,9627.8,SmallTopology
