TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.9457,84312,9.3257,13.097,21.237,3144,FullTopology
0.4,ABM,2.6077,140752,10.201,13.052,23.111,6288,FullTopology
0.6,ABM,3.3643,133538,14.005,12.364,23.735,6288,FullTopology
0.8,ABM,5.1881,81498,32.211,11.954,24.568,5240,FullTopology
0.2,ABM,1.8344,20448,7.8729,6.6713,25.484,0,SmallTopology
0.4,ABM,2.4545,23336,8.9782,6.8822,26.4,0,SmallTopology
0.6,ABM,3.3664,37120,14.775,7.9419,26.65,0,SmallTopology
0.8,ABM,6.186,53664,49.857,9.4975,27.233,0,SmallTopology
0.2,DT,2.1582,16508,12.24,32.013,30.189,0,FullTopology
0.4,DT,3.2388,50000,15.174,29.843,37.685,0,FullTopology
0.6,DT,4.495,70464,19.854,28.042,41.069,0,FullTopology
0.8,DT,6.7309,57248,44.216,26.077,42.848,0,FullTopology
0.2,DT,2.0921,10352,12.145,11.217,28.399,0,SmallTopology
0.4,DT,2.9525,10704,13.659,8.5969,33.048,0,SmallTopology
0.6,DT,4.1145,16256,20.412,10.726,35.728,0,SmallTopology
0.8,DT,7.0064,23428,59.15,10.48,37.06,0,SmallTopology
0.2,Reverie,2.0266,8220,10.551,32.422,28.441,0,FullTopology
0.4,Reverie,2.8695,21332,12.1,31.276,32.105,0,FullTopology
0.6,Reverie,3.8136,29860,14.946,30.867,33.771,0,FullTopology
0.8,Reverie,5.7543,25076,32.336,30.949,35.936,0,FullTopology
0.2,Reverie,1.9369,7564,9.2165,11.544,33.396,0,SmallTopology
0.4,Reverie,2.737,7752,11.068,9.3338,36.227,0,SmallTopology
0.6,Reverie,3.7815,10000,15.813,10.071,37.276,0,SmallTopology
0.8,Reverie,6.4563,11940,47.953,11.857,38.809,0,SmallTopology
