RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.0353,0,6.3917,2.2975,0,0
500000,ABM,2.0341,1356,6.4044,2.2966,0,0
500000,Reverie,2.0355,0,6.4153,2.2992,0,0
1000000,DT,2.0401,0,6.4308,2.3844,0,0
1000000,ABM,2.0394,1400,6.4236,2.3844,0,0
1000000,Reverie,2.0419,0,6.5111,2.3795,0,0
1500000,DT,2.0506,0,6.4351,2.3844,0,0
1500000,ABM,2.0484,1404,6.5314,2.3844,0,0
1500000,Reverie,2.0507,0,6.4726,2.3851,0,0
2500000,DT,2.0615,0,6.6099,2.3844,0,0
2500000,ABM,2.0655,1436,6.6651,2.3955,0,0
2500000,Reverie,2.0643,0,6.6697,2.3907,0,0
